product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,order_lead_time,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,supplier_lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,total_supply_chain_costs,cost_per_unit_sold,carrier_route_combo,total_lead_time,norm_lead_time,norm_defect_rate,supplier_risk_score,stock_to_sales_ratio,working_capital_at_risk,shipping_costs_outlier,defect_rates_outlier,total_lead_time_outlier,cost_per_unit_sold_outlier,stock_to_sales_ratio_outlier,total_supply_chain_costs_outlier
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,0.008708043384817885,Carrier C — Route B,15,0.3235294117647059,0.3472523248181585,0.3354,0.0512,4.94,False,False,False,False,False,False
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,0.0047124407544965234,Carrier A — Route A,24,0.5882352941176471,0.0005207147284796744,0.2944,0.0479,1.32,False,False,False,False,False,False
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,0.0039442678874539346,Carrier A — Route B,34,0.8823529411764706,0.43543986511878174,0.6589,0.2976,9.62,False,False,False,False,False,False
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,0.03830234161087686,Carrier A — Route B,17,0.38235294117647056,0.32769398539998074,0.355,0.3213,31.43,False,False,False,False,False,False
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,0.00362948432286358,Carrier B — Route B,34,0.8823529411764706,0.016679772377114398,0.4495,0.0961,0.56,False,False,False,False,False,False
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,0.005164263802292547,Carrier B — Route B,15,0.3235294117647059,0.4564029617458016,0.39,0.0192,1.86,False,False,False,False,False,False
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,0.01496901637751965,Carrier B — Route A,6,0.058823529411764705,0.20199688699256665,0.1304,0.0071,0.55,False,False,False,False,False,False
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,0.028455706017717002,Carrier C — Route C,26,0.6470588235294118,0.016951668157699405,0.332,0.3571,17.03,False,False,False,False,False,False
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,0.00699874953888824,Carrier C — Route A,18,0.4117647058823529,0.4498049176853027,0.4308,0.0161,0.44,False,False,False,False,False,False
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,0.025361689213058165,Carrier A — Route C,14,0.29411764705882354,0.7372694619675327,0.5157,0.2567,21.15,False,False,False,False,False,False
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,0.027744795784146375,Carrier A — Route B,18,0.4117647058823529,0.8561492804967542,0.634,0.0844,5.54,False,False,False,False,False,False
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,0.010046395622659398,Carrier B — Route C,31,0.7941176470588235,0.0,0.3971,0.1148,7.09,False,False,False,False,False,False
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,0.0108231322634876,Carrier A — Route C,11,0.20588235294117646,0.5228311497703666,0.3644,0.0803,4.02,False,False,False,False,False,False
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,0.007480454222878655,Carrier A — Route A,12,0.23529411764705882,0.2690060476073709,0.2522,0.2148,21.18,False,False,False,False,False,False
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,0.046609051144901284,Carrier C — Route A,34,0.8823529411764706,0.7463860315240858,0.8144,0.0191,0.77,False,False,False,False,False,False
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,0.01571178648789949,Carrier C — Route B,14,0.29411764705882354,0.7679118408263103,0.531,0.5775,45.21,False,False,False,False,True,False
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,0.018434981929400993,Carrier B — Route A,20,0.47058823529411764,0.4269178141188469,0.4488,0.1671,2.67,False,False,False,False,False,False
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,0.0210419061164718,Carrier C — Route B,17,0.38235294117647056,0.5783913890262783,0.4804,0.1335,1.41,False,False,False,False,False,False
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,0.025122184030632544,Carrier B — Route A,19,0.4411764705882353,0.1620009309474174,0.3016,0.1218,7.24,False,False,False,False,False,False
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,0.032019656701174036,Carrier B — Route B,12,0.23529411764705882,0.784346205580639,0.5098,0.1779,6.99,False,False,False,False,False,False
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,0.027383878640116256,Carrier B — Route C,33,0.8529411764705882,0.19241107907048144,0.5227,0.1835,9.48,False,False,False,False,False,False
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,0.015950362886794085,Carrier B — Route C,21,0.5,0.6036588285630164,0.5518,0.0357,2.15,False,False,False,False,False,False
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,0.008449558132187687,Carrier C — Route A,17,0.38235294117647056,0.39170220284888413,0.387,0.114,3.38,False,False,False,False,False,False
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,0.007886802765319221,Carrier C — Route A,26,0.6470588235294118,0.7158485314025418,0.6815,0.0065,0.16,False,False,False,False,False,False
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,0.0016935009482095,Carrier A — Route B,33,0.8529411764705882,0.1276248630972306,0.4903,0.0017,0.02,False,False,False,False,False,False
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,0.01177770599182051,Carrier C — Route C,35,0.9117647058823529,0.10619466380422792,0.509,0.0935,5.42,False,False,False,False,False,False
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,0.0021889421258142064,Carrier B — Route C,26,0.6470588235294118,0.7695990500312603,0.7083,0.0187,0.85,False,False,False,False,False,False
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,0.0015915423401769789,Carrier A — Route A,17,0.38235294117647056,0.5266949930517898,0.4545,0.026,0.89,False,False,False,False,False,False
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,0.013100611967729402,Carrier B — Route B,6,0.058823529411764705,0.12086200135738374,0.0898,0.0979,0.58,False,False,False,False,False,False
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,0.03160513510699082,Carrier A — Route B,32,0.8235294117647058,0.2912959263983721,0.5574,0.4432,3.99,False,False,False,False,False,False
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,0.007748762207648954,Carrier C — Route A,28,0.7058823529411765,0.8524613223300754,0.7792,0.0965,8.51,False,False,False,False,False,False
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,0.010383567884472398,Carrier B — Route A,27,0.6764705882352942,0.0054250367595659295,0.3409,0.1151,10.97,False,False,False,False,False,False
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,0.04855644081839683,Carrier C — Route A,31,0.7941176470588235,1.0,0.8971,0.1419,13.68,False,False,False,False,False,False
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,0.006177293090950593,Carrier B — Route A,38,1.0,0.07188021179515086,0.5359,0.0602,1.58,False,False,False,False,False,False
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,0.00824532062826626,Carrier C — Route A,25,0.6176470588235294,0.5982990288586623,0.608,0.0141,0.32,False,False,False,False,False,False
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,0.21729812536299623,Carrier B — Route A,13,0.2647058823529412,0.6505235135607546,0.4576,3.875,256.96,False,False,False,True,True,False
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,0.004739180252717209,Carrier B — Route B,37,0.9705882352941176,0.7377083731112754,0.8541,0.1071,8.28,False,False,False,False,False,False
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,0.009866759072472496,Carrier B — Route A,24,0.5882352941176471,0.07356064477815913,0.3309,0.0044,0.09,False,False,False,False,False,False
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,0.2446839019501772,Carrier C — Route B,19,0.4411764705882353,0.34131786470288245,0.3912,1.0345,23.92,False,False,False,True,True,False
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,0.02530930336263551,Carrier C — Route A,30,0.7647058823529411,0.5704953040621987,0.6676,0.9798,13.86,False,False,False,False,True,False
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,0.009870238412284345,Carrier A — Route B,33,0.8529411764705882,0.9625141862598824,0.9077,0.049,2.21,False,False,False,False,False,False
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,0.031058445181478347,Carrier A — Route A,5,0.029411764705882353,0.35652696635222736,0.193,0.6494,9.22,False,False,False,False,True,False
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,0.01052567338996213,Carrier B — Route C,12,0.23529411764705882,0.4275583562989865,0.3314,0.078,0.72,False,False,False,False,False,False
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,0.004187961016925192,Carrier B — Route B,28,0.7058823529411765,0.2828367498263059,0.4944,0.3967,33.06,False,False,False,False,False,False
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,0.006921388217504238,Carrier B — Route B,25,0.6176470588235294,0.4999675952038685,0.5588,0.0531,1.6,False,False,False,False,False,False
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,0.007153159707604718,Carrier A — Route B,16,0.35294117647058826,0.9206739333198933,0.6368,0.1384,4.2,False,False,False,False,False,False
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,0.019079889398620854,Carrier C — Route B,28,0.7058823529411765,0.23475525850569265,0.4703,0.2688,3.45,False,False,False,False,False,False
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,0.04035488341577916,Carrier B — Route A,19,0.4411764705882353,0.5065526743459373,0.4739,0.022,1.49,False,False,False,False,False,False
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,0.005511650183830458,Carrier A — Route B,12,0.23529411764705882,0.34787435502166153,0.2916,0.0112,0.73,False,False,False,False,False,False
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,0.015069674786916794,Carrier B — Route A,23,0.5588235294117647,0.08709959991742419,0.323,0.2066,0.39,False,False,False,False,False,False
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,0.011529916205532406,Carrier C — Route A,35,0.9117647058823529,0.576038605024909,0.7439,0.1079,9.41,False,False,False,False,False,False
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,0.07718239677369187,Carrier C — Route A,30,0.7647058823529411,0.8837988852612143,0.8243,0.2735,21.53,False,False,False,True,False,False
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,0.027006301439913984,Carrier C — Route C,9,0.14705882352941177,0.3770629278131077,0.2621,0.3185,6.7,False,False,False,False,False,False
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,0.00999159970726557,Carrier A — Route A,23,0.5588235294117647,0.7345040587510314,0.6467,0.2195,4.41,False,False,False,False,False,False
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,0.03421905573279591,Carrier C — Route C,33,0.8529411764705882,0.02863012251122049,0.4408,0.5448,4.74,False,False,False,False,True,False
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,0.01439943402162931,Carrier C — Route C,32,0.8235294117647058,0.9942773115704872,0.9089,0.1247,0.2,False,False,False,False,False,False
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,0.0031479300124593237,Carrier A — Route A,25,0.6176470588235294,0.6969520915062196,0.6573,0.0185,0.78,False,False,False,False,False,False
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,0.017831991315225403,Carrier C — Route C,18,0.4117647058823529,0.02303515372524913,0.2174,0.0234,0.17,False,False,False,False,False,False
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,0.007326698557576681,Carrier B — Route A,16,0.35294117647058826,0.3993092812073683,0.3761,0.0,0.0,False,False,False,False,False,False
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,0.018992733444462524,Carrier B — Route A,4,0.0,0.2730901493488245,0.1365,0.1859,14.43,False,False,False,False,False,False
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,0.19736617983127258,Carrier B — Route C,16,0.35294117647058826,0.3682377064409492,0.3606,0.3125,3.58,False,False,False,True,False,False
cosmetics,SKU71,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,0.014486954971824985,Carrier A — Route A,8,0.11764705882352941,0.41867314163865715,0.2682,0.1193,3.66,False,False,False,False,False,False
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,0.01380672418345093,Carrier A — Route B,38,1.0,0.6492482739984852,0.8246,0.1192,6.65,False,False,False,False,False,False
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,0.004034498231776206,Carrier B — Route A,30,0.7647058823529411,0.9352302293968885,0.85,0.0453,2.12,False,False,False,False,False,False
haircare,SKU74,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,0.005793865763315761,Carrier A — Route A,11,0.20588235294117646,0.07682020293110388,0.1414,0.0454,3.66,False,False,False,False,False,False
skincare,SKU75,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,0.023338658123070385,Carrier C — Route C,30,0.7647058823529411,0.4087798263747831,0.5867,0.1509,7.25,False,False,False,False,False,False
